"","Gender","Ever_Married","Age","Graduated","Spending_Score","Family_Size"
"1","Male","No",22,"No","Low",4
"2","Female","Yes",38,"Yes","Average",3
"3","Female","Yes",67,"Yes","Low",1
"4","Male","Yes",67,"Yes","High",2
"5","Female","Yes",40,"Yes","High",6
"6","Male","Yes",56,"No","Average",2
"7","Male","No",32,"Yes","Low",3
"8","Female","No",33,"Yes","Low",3
"9","Female","Yes",61,"Yes","Low",3
"10","Female","Yes",55,"Yes","Average",4
"11","Female","No",26,"Yes","Low",3
"12","Male","No",19,"No","Low",4
"13","Female","No",19,"No","Low",NA
"14","Male","Yes",70,"No","Low",1
"15","Female","Yes",58,"No","Low",1
"16","Female","No",41,"No","Low",2
"17","Female","No",32,"No","Low",5
"18","Male","No",31,"No","Low",6
"19","Male","Yes",58,"Yes","Average",4
"20","Female","Yes",79,"Yes","High",1
"21","Male","Yes",49,"Yes","Low",1
"22","Female","No",18,"No","Low",4
"23","Male","Yes",33,"Yes","Low",2
"24","Female","No",36,"Yes","Low",2
"25","Female",NA,58,"No","Average",3
"26","Male","Yes",56,"No","Average",3
"27","Male","No",31,"No","Low",8
"28","Male","Yes",49,"Yes","Average",3
"29","Male","No",35,"Yes","Low",1
"30","Female","No",35,"No","Low",4
"31","Female","Yes",45,"Yes","Low",3
"32","Female","Yes",42,"No","Low",2
"33","Male","No",19,"No","Low",3
"34","Male","No",26,"No","Low",NA
"35","Female","Yes",83,"No","High",2
"36","Female","No",27,"Yes","Low",4
"37","Male","No",32,"No","Low",1
"38","Female","Yes",28,"No","Average",5
"39","Female","Yes",28,"Yes","Low",2
"40","Male","Yes",56,"Yes","Average",2
"41","Female","No",47,"Yes","Low",1
"42","Female","No",22,"No","Low",2
"43","Female","No",27,"Yes","Low",3
"44","Female","Yes",49,"Yes","Low",2
"45","Male","Yes",40,"No","Low",1
"46","Female","Yes",79,"No","High",2
"47","Male","Yes",41,"Yes","Average",4
"48","Female","No",29,"Yes","Low",1
"49","Male","No",19,"No","Low",4
"50","Female","No",45,"Yes","Low",1
"51","Female","Yes",61,"No","Average",2
"52","Female","Yes",36,"Yes","Average",2
"53","Male","Yes",40,"Yes","Low",1
"54","Female","Yes",57,"Yes","Average",2
"55","Male","Yes",76,"No","Low",1
"56","Male","Yes",32,"Yes","Average",2
"57","Male","No",25,"Yes","Low",4
"58","Male","No",32,NA,"Low",2
"59","Female","Yes",45,"Yes","Average",3
"60","Male","Yes",72,"Yes","Low",NA
"61","Male","Yes",48,"Yes","Average",2
"62","Male","Yes",55,"Yes","Average",2
"63","Male","Yes",74,"Yes","High",3
"64","Male","Yes",56,"Yes","High",2
"65","Male","Yes",59,"Yes","High",2
"66","Male","No",25,"Yes","Low",2
"67","Male","Yes",31,"Yes","Average",2
"68","Male","No",27,"No","Low",4
"69","Male","Yes",57,"Yes","Average",4
"70","Female","Yes",39,"Yes","High",2
"71","Male","Yes",27,"Yes","Low",2
"72","Female","Yes",51,"Yes","Average",2
"73","Female","Yes",47,"No","Average",5
"74","Female","No",33,"No","Low",4
"75","Male","Yes",56,"Yes","Average",4
"76","Female","No",33,"No","Low",3
"77","Female","No",36,"Yes","Low",2
"78","Male","Yes",51,"No","Low",3
"79","Male","Yes",45,"Yes","Average",2
"80","Female","No",49,"Yes","Low",1
"81","Male","No",30,"No","Low",4
"82","Female","No",26,"No","Low",3
"83","Male","Yes",63,"Yes","Low",1
"84","Male","Yes",35,"No","Average",4
"85","Female","No",19,"No","Low",3
"86","Male","No",32,"No","Low",5
"87","Male","Yes",52,"Yes","Average",3
"88","Female","Yes",36,"Yes","Low",2
"89","Female","No",42,"No","Low",3
"90","Male","Yes",40,"No","Average",2
"91","Male","No",39,"Yes","Low",3
"92","Female","Yes",47,"Yes","Average",4
"93","Female","Yes",61,"Yes","High",2
"94","Male","Yes",32,"No","Low",2
"95","Male","Yes",55,"No","Low",1
"96","Male","Yes",58,"Yes","Average",1
"97","Female","No",38,"Yes","Low",1
"98","Male","Yes",63,"Yes","High",2
"99","Male","Yes",58,"Yes","Average",2
"100","Male","Yes",30,"No","Average",3
"101","Male","Yes",60,"Yes","Average",4
"102","Male","Yes",68,"No","High",7
"103","Male","Yes",52,"No","Low",3
"104","Male","Yes",38,"No","High",5
"105","Female","Yes",35,"Yes","Low",2
"106","Male","No",18,"No","Low",2
"107","Male","Yes",30,"Yes","Low",2
"108","Male","No",86,"No","Low",1
"109","Female",NA,19,"No","Low",5
"110","Male","No",25,"No","Low",3
"111","Male","Yes",59,"Yes","Low",4
"112","Female","No",39,"Yes","Low",1
"113","Female","Yes",50,"Yes","Low",NA
"114","Male","No",47,"Yes","Low",1
"115","Male","Yes",43,"Yes","High",3
"116","Male","Yes",36,"No","Average",4
"117","Male","Yes",80,"No","Low",1
"118","Male","No",36,"Yes","Low",2
"119","Male","No",27,"No","Low",7
"120","Female","Yes",37,"Yes","High",2
"121","Male","Yes",46,"Yes","High",3
"122","Male","Yes",55,"No","High",4
"123","Female","Yes",47,"No","Average",4
"124","Female","No",28,"Yes","Low",3
"125","Male","Yes",39,"No","Low",2
"126","Female","Yes",27,"No","Low",2
"127","Female","Yes",42,"No","Low",NA
"128","Male","Yes",72,"Yes","Average",2
"129","Female","Yes",28,"Yes","Low",2
"130","Male","No",35,"Yes","Low",5
"131","Male","Yes",39,"Yes","High",5
"132","Female","Yes",69,"Yes","High",2
"133","Male","No",18,"No","Low",4
"134","Male","Yes",46,"Yes","Low",1
"135","Female","Yes",50,"Yes","High",2
"136","Male","No",30,"No","Low",5
"137","Female","No",41,"No","Low",2
"138","Female","No",39,"Yes","Low",4
"139","Female","No",29,"No","Low",4
"140","Female","Yes",37,"Yes","Low",4
"141","Female","Yes",39,"Yes","Average",2
"142","Female","Yes",48,"Yes","Average",5
"143","Female","No",32,"Yes","Low",3
"144","Male","Yes",78,"No","Low",NA
"145","Female","Yes",43,"No","Average",5
"146","Male","No",29,"No","Low",5
"147","Female","Yes",28,"No","Average",2
"148","Male","Yes",80,"Yes","Low",1
"149","Female","No",28,"Yes","Low",4
"150","Male","Yes",71,"Yes","Average",3
"151","Male","Yes",67,"No","High",9
"152","Female","No",26,"No","Low",1
"153","Female","Yes",47,"Yes","Average",2
"154","Female","Yes",43,"Yes","Average",2
"155","Female","No",27,"Yes","Low",4
"156","Female","Yes",45,"Yes","Low",4
"157","Male","Yes",76,"No","Low",1
"158","Female","Yes",43,"Yes","Average",4
"159","Female","Yes",78,"Yes","High",2
"160","Male","Yes",35,"Yes","Average",3
"161","Female","No",49,"Yes","Low",1
"162","Female","No",25,"Yes","Low",5
"163","Male","Yes",37,"No","Average",5
"164","Female","No",32,"No","Low",5
"165","Male","Yes",60,"Yes","Average",2
"166","Female","Yes",45,"Yes","Average",3
"167","Female","Yes",49,"Yes","Average",3
"168","Male","No",32,"Yes","Low",5
"169","Female","Yes",40,"Yes","Low",3
"170","Male","Yes",59,"No","Average",2
"171","Male","Yes",48,"Yes","Low",5
"172","Male","Yes",82,"Yes","High",2
"173","Female","Yes",70,"Yes","Low",2
"174","Male","No",31,"Yes","Low",2
"175","Female","Yes",72,"Yes","High",2
"176","Male","Yes",50,"Yes","Average",4
"177","Female","No",23,"No","Low",1
"178","Female","No",20,"No","Low",6
"179","Female","No",22,"No","Low",3
"180","Female","No",31,"Yes","Low",1
"181","Female","Yes",36,"Yes","Average",2
"182","Male","Yes",52,"No","Average",5
"183","Female","No",29,"Yes","Low",1
"184","Male","Yes",40,"Yes","Average",4
"185","Female","No",40,"Yes","Low",1
"186","Male","Yes",38,"Yes","Low",2
"187","Female","Yes",85,"No","Low",NA
"188","Female","No",21,"No","Low",3
"189","Female","Yes",41,"No","Average",2
"190","Male","Yes",40,"Yes","Low",2
"191","Male","Yes",53,"Yes","Average",3
"192","Female","Yes",42,"Yes","Low",2
"193","Male","Yes",42,"No","Low",2
"194","Male","Yes",48,"Yes","Average",4
"195","Male","Yes",59,"Yes","Low",2
"196","Male","Yes",41,"Yes","Average",3
"197","Female","Yes",31,"Yes","Average",2
"198","Female","Yes",49,"Yes","High",5
"199","Male","Yes",67,"Yes","Low",2
"200","Male","Yes",35,"No","Average",2
"201","Female","No",26,"Yes","Low",3
"202","Male",NA,19,"No","Low",3
"203","Female","Yes",25,"No","Average",8
"204","Female","Yes",39,"Yes","Low",2
"205","Male","Yes",63,"Yes","Low",2
"206","Male","No",23,"No","Low",3
"207","Female","No",23,"No","Low",3
"208","Female","Yes",53,"Yes","Low",1
"209","Male","No",33,"Yes","Low",2
"210","Female","Yes",50,"No","Average",4
"211","Female","Yes",69,"Yes","Low",2
"212","Male","No",37,"Yes","Low",1
"213","Female","No",20,"No","Low",4
"214","Female",NA,85,"No","High",1
"215","Female","Yes",49,"Yes","Average",4
"216","Male","No",18,"No","Low",3
"217","Female","Yes",52,"Yes","Average",2
"218","Male","Yes",25,"No","Average",2
"219","Male","Yes",56,"No","High",2
"220","Male","No",62,"Yes","Low",1
"221","Female","No",35,NA,"Low",3
"222","Male","Yes",28,"Yes","Average",2
"223","Female","No",28,"Yes","Low",3
"224","Male","No",20,"No","Low",5
"225","Female","No",27,"No","Low",1
"226","Female","No",56,"No","Low",1
"227","Male","Yes",45,"Yes","Average",4
"228","Male","No",25,"Yes","Low",4
"229","Male","No",40,"No","Low",1
"230","Female","Yes",25,"Yes","Low",2
"231","Female","Yes",74,"No","High",2
"232","Female","No",23,"No","Low",4
"233","Female","Yes",67,"Yes","High",2
"234","Male","No",21,"No","Low",4
"235","Female","No",38,"Yes","Low",1
"236","Male","No",28,"No","Low",4
"237","Female","No",32,"No","Low",5
"238","Female","No",33,"Yes","Low",4
"239","Female","Yes",56,"No","High",4
"240","Female","Yes",53,"Yes","Low",2
"241","Male","Yes",57,"No","High",5
"242","Female","Yes",59,"Yes","Average",3
"243","Female","Yes",25,"Yes","High",4
"244","Male","Yes",59,"Yes","Average",6
"245","Female","Yes",36,"Yes","Low",4
"246","Male","Yes",37,"Yes","Low",2
"247","Male","No",22,"No","Low",3
"248","Male","Yes",43,"Yes","Low",2
"249","Male","Yes",41,"Yes","Low",2
"250","Female","No",21,"No","Low",5
"251","Female","No",49,"No","Low",NA
"252","Male","No",38,"Yes","Low",1
"253","Male","Yes",47,"No","Average",4
"254","Male","Yes",70,"Yes","High",3
"255","Female","No",31,"No","Low",4
"256","Female","Yes",82,"No","Average",2
"257","Female","Yes",51,"No","Low",1
"258","Female","No",42,"No","Low",NA
"259","Male","No",38,"Yes","Low",3
"260","Male","Yes",18,"No","High",4
"261","Male","Yes",50,"Yes","Average",3
"262","Female","No",46,"Yes","Low",NA
"263","Female","Yes",72,"No","High",3
"264","Female","No",33,"No","Low",4
"265","Female","No",25,"No","Low",7
"266","Female","Yes",75,"No","High",2
"267","Male","No",72,"Yes","Low",1
"268","Female","Yes",72,"Yes","Average",3
"269","Male","Yes",36,"Yes","Low",6
"270","Male","Yes",40,"Yes","Low",2
"271","Female","No",28,"Yes","Low",4
"272","Female","No",28,"Yes","Low",3
"273","Male",NA,19,"No","High",3
"274","Male","Yes",43,"Yes","Low",2
"275","Female","Yes",35,"Yes","Average",2
"276","Male","Yes",65,"Yes","High",2
"277","Male","Yes",52,"Yes","High",4
"278","Female","No",40,"Yes","Low",1
"279","Female","Yes",69,"No","Low",3
"280","Female","No",22,"No","Low",3
"281","Male","Yes",47,"Yes","Average",4
"282","Male","Yes",29,"Yes","High",2
"283","Male","Yes",46,"Yes","Average",3
"284","Male","No",32,"Yes","Low",2
"285","Female","No",38,"Yes","Low",1
"286","Male","Yes",59,"Yes","Low",1
"287","Female","No",26,"Yes","Low",1
"288","Male","No",26,"Yes","Low",2
"289","Male","No",28,"No","Low",1
"290","Female","Yes",53,"Yes","Average",3
"291","Female","No",43,NA,"Low",1
"292","Male","No",27,"No","Low",3
"293","Female","No",32,"No","Low",8
"294","Male","No",26,"No","Low",4
"295","Female","No",31,"No","Low",2
"296","Male","Yes",39,"Yes","High",3
"297","Female","Yes",43,"No","Low",3
"298","Male","Yes",25,"No","Low",2
"299","Male","Yes",40,"Yes","High",3
